,Title,Locality,Building/Area,Price,Area,Number_of_Bedrooms,Number_of_Bathrooms,Description
2365,3 BHK Residential Apartment for rent in Promenade Road.,Promenade Road.,Builder Project,75000,2466,3,3,"Golden opportunity to rent an apartment in central business district of bangalore, the apartment is situated on promenade road very close to the ulsoor lake, the apartment is also centrally located to other areas such as m.G. Road, commercial street, cantonment railway station and other areas. The ultra luxurious apartment consists of 3 bedrooms a living room a separate dinning area and a kitchen, the apartment has ample amount of ventilation throughout the apartment. It has a large balcony which over looks at the lush greenery present around the apartment complex, the master bedroom also has an attached balcony to it. The apartment has italian marble the apartment has been sparingly used, it as good as a new apartment."
2366,3 BHK Residential Apartment for rent in 7th Phase JP Nagar,7th Phase JP Nagar,GR Lavender,27000,1680,3,3,"3 bhk apartment for rent in 7th phase jp nagar, bangalore south. It is a semi-Furnished apartment, located on the ground floor of 4 floors. The apartment has 3 bedrooms 3 bathrooms 2 balcony(S). It is also equipped with 5 wardrobe(S), 1 modular kitchen, 1 ac(S), 2 geyser(S), 5 fan(S), 4 light(S), 1 chimney(S) and 1 exhaust fan(S). It is immediately available for family for rs. 27000 monthly. It is a 5-10 years and also has 1 covered parking and 1 open parking. It has a super built-Up area of 1680. 0 sq. Ft. There is a monthly maintenance cost of rs. 5000. Tenant needs to make a security deposit of rs. 200000.
 Additional details :

The society has dedicated security guards for every tower.
Full power backup is available.
Piped gas facility is available in the property."
2367,3 BHK Residential Apartment for rent in Lavelle Road,Lavelle Road,Regency Liqury,110000,2900,3,3,"Lavelle road, fully renovated 3bhk fully furnished apartment for rent suitable for family,expats, company guest house with all white goods.

Walking distance to ub city, bishop cotton school and bangalore club.

For any property requirement in central bangalore call sai properties."
2368,2 BHK Independent Builder Floor for rent in Arekere,Arekere,,13500,700,2,2,"Independent/builder floor is available for rent.Construction ages only 0-1 years old propertysituated in arekere.Area of the construction is 700.00 sq.Ft.(Builtup area) it has been semifurnished.It has good design of 2 bedrooms. Non-Stop water supply in 2 bathrooms .It has been priced at rs 13500.Located on 2nd floor out of 3. Located near bpl gate.
 Additional details :

Each house has a dedicated water tank.
 The house has river water.
No power backup available.
The property is located on the main road"
2369,5 BHK Residential Apartment for rent in Sarjapur Road,Sarjapur Road,Astro Greenwood Regency,55000,2000,5,5,"An excellent 5 bhk residential apartment for rent in sarjapur road, bangalore east. It is a very good property and has 3 balcony(s) which make the apartment more spacious. In addition, it has servant room and pooja room and is available for all. We are looking for rs. 55000. It is on the ground floor and has vitrified flooring. It is a north-East facing property and has intercom facility, maintenance staff, lift(s), security/fire alarm, visitor parking and water storag etc. The society too has features like club house/community center, fitness centre/gym, security personnel, park and swimming pool which adds to the attractiveness of the property. 1 open parking. 1 covered parking. Full power back up."
2370,3 BHK Residential Apartment for rent in 6th Block Jayanagar,6th Block Jayanagar,Gokul Lake view,36000,1950,3,3,"A 3 bhk apartment is available for rent in 6th block jayanagar, bangalore south. This apartment is on the 3rd of 3 floors in gokul lake view. This 1-5 year old property has a super built-Up area of 1950 sq. Ft. This is semifurnished apartment. The furnishings include:
 * 3 wardrobe(s)
 * 1 modular kitchen
 * 3 geyser(s)
 * 4 fan(s)
 * 4 light(s)
 * 1 water purifier(s)
 * 1 curtain(s)
 * 1 chimney(s)
 * 1 exhaust fan(s)
 This apartment comes with 3 bathroom(s). The apartment with 2 balconies
 Is available for all.
It is a feng-Shui/vaastu compliant property. 
The apartment. Additionally it has features like internet/wi-Fi connectivity and water purifier. With features like lift(s), park, maintenance staff, water storage, visitor parking, intercom facility and security/fire alarm, the society offers a convenient living. It also has other features like waste disposal and rain water harvesting.
This property is in a gated society and has full power back up. The society has various amenities like park, fitness centre/gym, water softening plant, shopping centre and security personnel.
There is one covered parking space.
The expected monthly rental is rs. 36000/-(Price negotiable). Some of the additional costs include security of rs. 350000/- (Fixed)."
2371,2 Bedroom Independent House for rent in Tavarekere,Tavarekere,,20000,900,2,2,"2,bhk, natural light, close to market"
2372,2 BHK Independent Builder Floor for rent in ITC COLONY Maruthi Sevanagar,ITC COLONY Maruthi Sevanagar,ITC Colony,15000,1200,2,1,2 bhk house near itc infoteck maruthi sevanagar bangalore 24 hours kavery water 2weeler parking
2373,2 BHK Independent Builder Floor for rent in 2nd Stage Nagarbhavi,2nd Stage Nagarbhavi,,12000,800,2,2,"2 bhk apartment is up for rent for 12,000/-. The semi furnished apartment has a super built up area of 800 sqft and is located on the 2nd floor. It is situated in sunkadakatte which is one of the known areas in bangalore . 2 bhk bedroom , 1 balconies , pooja room and comes with wardrobes. The flat comes with 1 open car parking & 2 two-Wheeler parking. This property makes your living more convenient by offering amenities like corporation water, drainage facility, visitors parking, piped gas additional property info :Flooring info: Granite take hold of this most coveted property now! Rent amount: Rs 12,000/- Super built-Up area: 800 sqft built-Up area: 700 sqft age of construction: 5-10 years
 Additional details :

 The house has river water.
No power backup available.
The property is located on the main road"
2374,3 BHK Residential Apartment for rent in Rajaji Nagar,Rajaji Nagar,Brigade Gateway,90000,1720,3,3,"A 3 bhk apartment is available for rent in rajaji nagar, bangalore west. This apartment is on the 6th of 19 floors in brigade gateway. The built-Up area is 1720 sq. Ft. The carpet area is 1376 sq. Ft. This is furnished apartment. The furnishings include:
 * 3 wardrobe(s)
 * 3 bed(s)
 * 1 modular kitchen
 * 1 fridge(s)
 * 3 ac(s)
 * 3 geyser(s)
 * 1 tv(s)
 * 1 sofa(s)
 * 1 dining table(s)
 * 3 fan(s)
 * 3 light(s)
 * 1 stove(s)
 * 1 washing machine(s)
 * 1 water purifier(s)
 * 1 dining table(s)
 * 1 curtain(s)
 * 1 chimney(s)
 * 1 exhaust fan(s)
 This apartment comes with 3 bathroom(s). The apartment with 2 balconies
 Is available for all.
The property also has a pooja room and study room. It is a feng-Shui/vaastu compliant property. 
The apartment with vitrified flooring. Additionally it has features like piped-Gas. This east-Facing apartment has a 80 feet wide road at the front. With features like intercom facility, lift(s), maintenance staff, park, visitor parking, water storage and security/fire alarm, the society offers a convenient living. It also has other features like rain water harvesting.
This property is in a gated society and has full power back up. The society has various amenities like club house/community center, fitness centre/gym, security personnel, water softening plant, swimming pool, shopping centre and park.
There is one covered parking space.
The expected monthly rental is rs. 90000/-(Price negotiable). Some of the additional costs include security of rs. 900000/- (Fixed). The brokerage amount is rs 1/- (Negotiable)"
2375,4 BHK Residential Apartment for rent in Rajaji Nagar,Rajaji Nagar,Brigade Gateway,120000,2170,4,4,"An excellent 4 bhk residential apartment for rent in rajaji nagar, bangalore west. It is a very good property and has 3 balcony(s) which make the apartment more spacious. In addition, it has pooja room, study room and servant room and is available for all. We are looking for rs. 122000, however, the price is negotiable. It is on the 14th floor and has vitrified flooring. It is an east facing property and has intercom facility, lift(s), piped-Gas, maintenance staff, visitor parking, water storage and security/fire alar etc. The society too has features like club house/community center, fitness centre/gym, security personnel, water softening plant, swimming pool, shopping centre and park which adds to the attractiveness of the property. 0 open parking. 2 covered parking. Full power back up."
2376,3 BHK Residential Apartment for rent in Rajaji Nagar,Rajaji Nagar,Brigade Gateway,120000,2060,3,3,"A beautiful 3 bhk flat for rent in rajaji nagar, bangalore west is available. This 1-5 year old property is on the 11th floor of 19 floors. It has 3 bathroom(s).
Spacious and thoughtfully designed, it has a super built-Up area of sq. Ft. The built-Up area is 2060 sq. Ft. The carpet area is 1648 sq. Ft. This is a furnished apartment with 2 balconies.
The flat is in a gated society.
It comes with a 3 wardrobe(s), 3 bed(s), 1 modular kitchen, 1 fridge(s), 4 ac(s), 3 geyser(s), 2 tv(s), 1 sofa(s), 1 dining table(s), 4 fan(s), 4 light(s), 1 stove(s), 1 washing machine(s), 1 water purifier(s), 1 dining table(s), 1 curtain(s), 1 chimney(s) and 1 exhaust fan(s).
 With vitrified flooring. This vaastu/feng shui compliant property has a 80 feet wide road in the front. It is an east facing apartment.
The society has features like club house/community center, fitness centre/gym, intercom facility, lift(s), piped-Gas, security personnel, swimming pool, park, visitor parking, water storage and security/fire alarm. It is also equipped with amenities like club house/community center, fitness centre/gym, security personnel, water softening plant, swimming pool, shopping centre and park. With full power back up, the society has other features like water softening plant and shopping centre. There is one covered parking. The rent of this property is rs. 123000/-. (Price negotiable) other than rent, there will be a security of rs. 1230000 (Fixed). The brokerage amount is rs 1(Negotiable)."
